trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,8,-84.16672753542245,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",25,5,-16.24516294362629,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,0,-47.243568748280666,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",25,0,-100.22212960402607,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-135.3755858192958,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.631283645506926}",25,0,-126.54345068352279,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-153.6367360370568,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,14,-1.1627832587667677,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-145.81208154019242,"{0: 18, 1: 0, 2: 2, 3: 3, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",25,10,-31.37467128444382,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",25,0,-71.8078405608396,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",20,0,-114.87224504066393,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",25,18,-28.624912102425075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,4,-38.06122480131194,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-139.88038933277397,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",25,5,-46.58484774922326,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",25,10,-9.441172132386946,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",30,0,-124.25775786142128,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,4.01715213626113,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,13,4.573748964821692,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-21.361571055155782,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",35,8,-34.26533496437082,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,3,-34.56623703390569,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,10,5.856066381722558,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.522045776761016}",30,0,-48.02300737576979,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,12,-78.57986105786503,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,26.496836839862127,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,6,-106.10369608273018,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",25,0,-28.90778615120439,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,3,-44.78801594840998,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,2,-28.55490754311583,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,9,-45.53927524888911,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,5,-55.61812979375702,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",25,0,0.4185884103666253,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-44.7247483208902,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,12,2.894830668964736,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",30,6,-2.825343936866828,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,12,10.659829535046791,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",20,0,-96.37752617425292,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-42.56410871020833,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
