trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,14,10.40696194822038,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,19,-43.73556928039981,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.6505090947233165}",25,9,-37.42117995392432,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
45,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,0,-34.75723845576106,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.6376281516217733}",25,5,-96.36894903481155,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-98.30702889228498,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.6250022682827008}",30,0,-72.33918811246258,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.6187833918061408}",20,0,-65.19145742897818,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6126263941844161}",25,0,-98.90372971408999,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6065306597126334}",30,0,-58.90823999873529,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6004955788122659}",30,0,-104.09520206585199,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5945205479701944}",35,18,-65.52988359345127,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5886049696783552}",20,15,1.64274575670463,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5827482523739896}",20,0,-58.43021326930648,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,-48.088631407831485,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.5712090638488149}",20,0,-79.16831810919233,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5655254386995371}",20,5,-17.607974694413016,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.559898366565402}",25,7,-6.633158323141249,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5543272847345071}",20,0,-46.69244762132256,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.5488116360940265}",20,5,-46.278715602402166,"{0: 9, 1: 1, 2: 4, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.5433508690744998}",30,15,2.500198048116286,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,0,-40.2034852409706,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5325918010068972}",25,7,-15.010517982199937,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,0,-165.65057167910845,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.522045776761016}",35,20,-21.155886810339933,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.5168513344916992}",30,0,-3.2194567104229526,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,0,-80.10775616280098,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.5066169923655895}",25,11,-6.477398269768374,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.5015760690660555}",20,0,-39.599586153907495,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,4,-154.52713399743112,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 4}",1
72,False,"{'a': 0.5, 'e': 0.4916441974609651}",20,1,3.086294432268791,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,4,-11.995864379313609,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.48190899009020244}",30,0,-76.91348769649649,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.4771139155210344}",30,11,-17.471487623673372,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.4723665527410147}",35,0,-140.27432106638966,"{0: 25, 1: 2, 2: 4, 3: 2, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-43.27509344714959,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.46301306831122807}",25,13,-32.77029790389796,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.4584060113052235}",25,7,-18.4935115848738,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,1,-68.45810464342556,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,9,-93.20977072562559,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
82,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,10,-67.09879195173659,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.44043165450599925}",30,18,-77.72528161899443,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
84,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,6,-37.38711580731993,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.43171052342907973}",25,0,-77.26093629015618,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,11,-37.821282075754944,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.4231620823177488}",30,0,-93.46976157265286,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,-29.236483322377595,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.4147829116815814}",30,0,-4.78632360865433,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,8,-38.207796228719786,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",25,0,-101.74418034876658,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",30,8,-61.43022981300504,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",25,0,-39.835086791489495,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,8,-46.810195256417686,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,0,-0.7199704762248389,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,0,17.113715839354263,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-135.30620096870445,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,4,-22.118818948323867,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,-7.0976895683627585,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,7,3.754143186250661,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-51.75485379549573,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,13,19.741491282014728,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,9.961976511403472,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,0,-51.59007857614359,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,15,-22.176945342637477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,0,7.5079358159443474,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,8,-34.38052260244941,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
